replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Bellman Errors 1 Mean,trainer/Bellman Errors 1 Std,trainer/Bellman Errors 1 Max,trainer/Bellman Errors 1 Min,trainer/Bellman Errors 2 Mean,trainer/Bellman Errors 2 Std,trainer/Bellman Errors 2 Max,trainer/Bellman Errors 2 Min,trainer/Policy Action Mean,trainer/Policy Action Std,trainer/Policy Action Max,trainer/Policy Action Min,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,exploration/env_infos/final/reward_run Mean,exploration/env_infos/final/reward_run Std,exploration/env_infos/final/reward_run Max,exploration/env_infos/final/reward_run Min,exploration/env_infos/initial/reward_run Mean,exploration/env_infos/initial/reward_run Std,exploration/env_infos/initial/reward_run Max,exploration/env_infos/initial/reward_run Min,exploration/env_infos/reward_run Mean,exploration/env_infos/reward_run Std,exploration/env_infos/reward_run Max,exploration/env_infos/reward_run Min,exploration/env_infos/final/reward_ctrl Mean,exploration/env_infos/final/reward_ctrl Std,exploration/env_infos/final/reward_ctrl Max,exploration/env_infos/final/reward_ctrl Min,exploration/env_infos/initial/reward_ctrl Mean,exploration/env_infos/initial/reward_ctrl Std,exploration/env_infos/initial/reward_ctrl Max,exploration/env_infos/initial/reward_ctrl Min,exploration/env_infos/reward_ctrl Mean,exploration/env_infos/reward_ctrl Std,exploration/env_infos/reward_ctrl Max,exploration/env_infos/reward_ctrl Min,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,evaluation/env_infos/final/reward_run Mean,evaluation/env_infos/final/reward_run Std,evaluation/env_infos/final/reward_run Max,evaluation/env_infos/final/reward_run Min,evaluation/env_infos/initial/reward_run Mean,evaluation/env_infos/initial/reward_run Std,evaluation/env_infos/initial/reward_run Max,evaluation/env_infos/initial/reward_run Min,evaluation/env_infos/reward_run Mean,evaluation/env_infos/reward_run Std,evaluation/env_infos/reward_run Max,evaluation/env_infos/reward_run Min,evaluation/env_infos/final/reward_ctrl Mean,evaluation/env_infos/final/reward_ctrl Std,evaluation/env_infos/final/reward_ctrl Max,evaluation/env_infos/final/reward_ctrl Min,evaluation/env_infos/initial/reward_ctrl Mean,evaluation/env_infos/initial/reward_ctrl Std,evaluation/env_infos/initial/reward_ctrl Max,evaluation/env_infos/initial/reward_ctrl Min,evaluation/env_infos/reward_ctrl Mean,evaluation/env_infos/reward_ctrl Std,evaluation/env_infos/reward_ctrl Max,evaluation/env_infos/reward_ctrl Min,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
345000,0.039903793,0.03905002,64.97347,-64.9002,0.3728617,-62.362442,-67.19809,-64.90396,0.37419707,-62.274784,-67.18539,-64.851685,0.46963522,-61.247753,-67.09162,0.03990379,0.15110871,1.3490268,1.1269003e-07,0.03905002,0.14224347,1.4110261,8.381903e-09,1.0,0.0,1.0,1.0,345000,345,1000.0,0.0,1000,1000,-0.5495148528704054,0.06791616935117294,0.14460061306212424,-0.9160611473344213,-549.5148528704051,0.0,-549.5148528704051,-549.5148528704051,0.9584819324233051,0.058759745751858064,1.0,0.6533596728484053,1,-549.5148528704051,-0.025724750495848547,0.0,-0.025724750495848547,-0.025724750495848547,0.6205276656285375,0.0,0.6205276656285375,0.6205276656285375,0.003769340631236542,0.06469514039321167,0.7158347214888966,-0.3674790264692515,-0.5488086876896089,0.0,-0.5488086876896089,-0.5488086876896089,-0.5410451958044903,0.0,-0.5410451958044903,-0.5410451958044903,-0.5532841935016419,0.025332746408912424,-0.4621656843384198,-0.6000000000000001,1720000,1720,1000.0,0.0,1000,1000,-0.5963991596278216,0.06763390066325238,0.5184759963966923,-1.1182729498736728,-596.3991596278327,1.146101293569284,-594.615867232405,-597.8956724660916,1.0,0.0,1.0,1.0,5,-596.3991596278327,0.0,0.0,0.0,0.0,0.8486256137022485,0.15737120658661144,1.07009864441739,0.5784586286555765,0.0036008403721784214,0.06763390066325238,1.1184759963966924,-0.5182729498736726,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6,1.1102230246251565e-16,-0.6000000000000001,-0.6000000000000001,0.0047756869989825645,2.1617873790000885,0.43159968800136994,0.016304770000715507,0.006912688000738854,5.815960026999164,8.43734023900106,2883.1940724080323,343
346000,0.01831716,0.017872315,64.90163,-64.83562,0.25385574,-62.317684,-67.511955,-64.83713,0.25659665,-62.334423,-67.65877,-64.83715,0.25875506,-62.837612,-67.50524,0.01831716,0.0361013,0.27268648,3.6379788e-08,0.017872315,0.033609822,0.26635718,2.3283064e-08,1.0,0.0,1.0,1.0,346000,346,1000.0,0.0,1000,1000,-0.5513803047545955,0.0734699657194564,0.21437169984439253,-0.9697323167333377,-551.3803047545957,0.0,-551.3803047545957,-551.3803047545957,0.9604462691176147,0.057908007081952664,1.0,0.6313408010342821,1,-551.3803047545957,-0.04309180909632837,0.0,-0.04309180909632837,-0.04309180909632837,0.730026777005028,0.0,0.730026777005028,0.730026777005028,0.004105919133093888,0.06874407662779809,0.7671954218726648,-0.40707002373597034,-0.5725996420807661,0.0,-0.5725996420807661,-0.5725996420807661,-0.5728731788050484,0.0,-0.5728731788050484,-0.5728731788050484,-0.5554862238876893,0.025701245635568692,-0.4587979041748865,-0.6000000000000001,1725000,1725,1000.0,0.0,1000,1000,-0.5950972949158942,0.07972289671391934,0.7372028310079024,-1.0354253735621717,-595.0972949159053,1.1366326351453893,-593.6074840282687,-596.6860069757148,1.0,0.0,1.0,1.0,5,-595.0972949159053,0.0,0.0,0.0,0.0,0.9987054400559682,0.13651366553119482,1.1224701597572189,0.7606085913606945,0.004902705084105751,0.07972289671391934,1.3372028310079025,-0.4354253735621716,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6,1.1102230246251565e-16,-0.6000000000000001,-0.6000000000000001,0.0048031770002125995,2.1677806110001256,0.44135098900005687,0.017502856000646716,0.006917586999406922,5.798289531998307,8.436644751998756,2891.6338363930317,344
347000,0.024083016,0.02729177,64.8206,-64.80478,0.30137926,-62.581074,-67.483696,-64.79613,0.30823907,-62.23555,-67.4151,-64.834625,0.3500132,-62.991623,-67.71372,0.024083018,0.06129399,0.61693764,9.313226e-08,0.027291767,0.08421185,0.9594722,1.6039703e-06,1.0,0.0,1.0,1.0,347000,347,1000.0,0.0,1000,1000,-0.5493022045266719,0.08519236887993649,0.37284147259680733,-1.016445292441305,-549.3022045266715,0.0,-549.3022045266715,-549.3022045266715,0.9600737702791009,0.05929867108455938,1.0,0.5773553631664985,1,-549.3022045266715,0.06950832290048892,0.0,0.06950832290048892,0.06950832290048892,0.8629345642092259,0.0,0.8629345642092259,0.8629345642092259,0.0058525815355216755,0.08178535659345755,0.9053899524097333,-0.4458142127622111,-0.5168288703353862,0.0,-0.5168288703353862,-0.5168288703353862,-0.5596450803530764,0.0,-0.5596450803530764,-0.5596450803530764,-0.5551547860621936,0.027065678356516226,-0.45877505326509865,-0.6000000000000001,1730000,1730,1000.0,0.0,1000,1000,-0.5953260857202199,0.07777196264693712,1.289877042146153,-1.0233878299044536,-595.326085720231,0.7477649447563145,-593.9787667514166,-596.2547983328775,1.0,0.0,1.0,1.0,5,-595.326085720231,0.0,0.0,0.0,0.0,1.0263232745065076,0.1965327613672108,1.354131891998831,0.8590878023648318,0.0046739142797800936,0.07777196264693712,1.889877042146153,-0.42338782990445356,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6,1.1102230246251565e-16,-0.6000000000000001,-0.6000000000000001,0.004726347000541864,2.149952564999694,0.4448635410008137,0.015265044999978272,0.006859656999949948,5.8053624639997,8.427029619000677,2900.064099518031,345
348000,0.03580634,0.038081802,64.82983,-64.76547,0.35153046,-61.117943,-67.635735,-64.78203,0.34994158,-61.135365,-67.66538,-64.74835,0.4088909,-61.244793,-67.87899,0.03580634,0.23772097,2.792233,5.2532414e-07,0.0380818,0.25913903,2.9760015,1.0924996e-06,1.0,0.0,1.0,1.0,348000,348,1000.0,0.0,1000,1000,-0.5504160801146907,0.08466348215862331,0.37539939276627854,-0.9875859404392735,-550.4160801146897,0.0,-550.4160801146897,-550.4160801146897,0.9614030378817706,0.05739457516286645,1.0,0.621814918531574,1,-550.4160801146897,0.009837593399311673,0.0,0.009837593399311673,0.009837593399311673,0.8910795599368618,0.0,0.8910795599368618,0.8910795599368618,0.006137882989163297,0.08201840417022527,0.93907281348062,-0.39443799745713826,-0.5211649737558913,0.0,-0.5211649737558913,-0.5211649737558913,-0.5807805116112966,0.0,-0.5807805116112966,-0.5807805116112966,-0.5565539631038539,0.02548520391542766,-0.4532719943139343,-0.6000000000000001,1735000,1735,1000.0,0.0,1000,1000,-0.5956978087528563,0.07213675684387867,0.40324652270212025,-1.0266167308093839,-595.6978087528676,0.7718271178428552,-594.5737757702113,-596.6307163637733,1.0,0.0,1.0,1.0,5,-595.6978087528676,0.0,0.0,0.0,0.0,0.8590359315784324,0.10856738961406216,0.9616504003655655,0.6631864391680076,0.004302191247143612,0.07213675684387866,1.0032465227021203,-0.4266167308093838,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6,1.1102230246251565e-16,-0.6000000000000001,-0.6000000000000001,0.004770176999954856,2.163624974000413,0.4391558429997531,0.01847780000025523,0.006928136999704293,5.791500740000629,8.42445767100071,2908.491636445031,346
349000,0.021390587,0.020144546,64.8576,-64.7867,0.36898047,-62.046417,-67.60811,-64.795296,0.36566368,-62.172417,-67.62347,-64.767784,0.33081675,-62.762123,-67.35787,0.021390587,0.07520099,0.96982795,1.4901161e-08,0.020144546,0.0578315,0.69442964,2.7712667e-07,1.0,0.0,1.0,1.0,349000,349,1000.0,0.0,1000,1000,-0.5489176717704656,0.08781120082663264,0.44450792557278795,-0.92075870554279,-548.9176717704661,0.0,-548.9176717704661,-548.9176717704661,0.9600320081494386,0.05806171931950114,1.0,0.6267593162917975,1,-548.9176717704661,-0.015068176764158059,0.0,-0.015068176764158059,-0.015068176764158059,0.9608681079579576,0.0,0.9608681079579576,0.9608681079579576,0.006101900182602458,0.08458748510091635,0.9608681079579576,-0.37513133396606335,-0.49978281327237206,0.0,-0.49978281327237206,-0.49978281327237206,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.5550195719530682,0.025682540186290338,-0.4651340282061699,-0.6000000000000001,1740000,1740,1000.0,0.0,1000,1000,-0.5951962881732902,0.07549739975524623,0.86733575418602,-1.0276676839085337,-595.1962881733014,0.9185249050192338,-594.2595162322943,-596.7900038487883,1.0,0.0,1.0,1.0,5,-595.1962881733014,0.0,0.0,0.0,0.0,1.0315070993025066,0.14360387370867692,1.1999485218992638,0.8546726396793634,0.004803711826709839,0.07549739975524625,1.4673357541860201,-0.4276676839085336,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6,1.1102230246251565e-16,-0.6000000000000001,-0.6000000000000001,0.00479170699873066,2.1548273360003805,0.43836490600006073,0.01555010999982187,0.00690586800010351,5.852338281001721,8.472778208000818,2916.9675632360304,347
350000,0.019958844,0.020270512,64.82246,-64.7906,0.40021607,-62.268044,-67.58543,-64.79385,0.39567798,-62.203754,-67.550674,-64.76011,0.4191668,-61.93724,-67.48848,0.019958844,0.031787135,0.30755973,7.043127e-09,0.020270512,0.033669446,0.30025837,2.0954758e-07,1.0,0.0,1.0,1.0,350000,350,1000.0,0.0,1000,1000,-0.5514754278941726,0.06731624875283287,0.18075559128632313,-0.924139493355229,-551.4754278941729,0.0,-551.4754278941729,-551.4754278941729,0.9596493568510948,0.05936626597307734,1.0,0.5980686995522382,1,-551.4754278941729,0.056801029660750735,0.0,0.056801029660750735,0.056801029660750735,0.6901826408610936,0.0,0.6901826408610936,0.6901826408610936,0.003195317090010989,0.06182973507234913,0.7400789606376337,-0.36682058032960874,-0.5102195380028517,0.0,-0.5102195380028517,-0.5102195380028517,-0.5590528814698926,0.0,-0.5590528814698926,-0.5590528814698926,-0.5546707449841837,0.0260145500037862,-0.46413361279178145,-0.6000000000000001,1745000,1745,1000.0,0.0,1000,1000,-0.5956875787165454,0.07054586373097158,0.4754549305911282,-1.0062443256912463,-595.6875787165566,1.5499791083117287,-594.0444407899677,-598.3198352019328,1.0,0.0,1.0,1.0,5,-595.6875787165566,0.0,0.0,0.0,0.0,0.8176340998227388,0.14913882879437682,1.035446919299672,0.6680606285590931,0.004312421283454573,0.07054586373097158,1.0754549305911283,-0.40624432569124624,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6,1.1102230246251565e-16,-0.6000000000000001,-0.6000000000000001,0.004788378000739613,2.1689290900012566,0.4318000259991095,0.016736846999265254,0.0069542880009976216,5.818400033000216,8.447608662001585,2925.4182977330292,348
351000,0.029249799,0.029048827,64.8716,-64.75445,0.2770292,-62.28205,-67.582634,-64.76376,0.27749172,-62.40239,-67.60998,-64.74304,0.3161011,-62.69742,-67.66874,0.029249802,0.07474508,0.86064863,9.837095e-09,0.029048827,0.06743964,0.8360264,1.1408702e-06,1.0,0.0,1.0,1.0,351000,351,1000.0,0.0,1000,1000,-0.5509714510903768,0.06278307148008574,0.23236424473967043,-0.827617544707534,-550.9714510903768,0.0,-550.9714510903768,-550.9714510903768,0.9595182911516468,0.05953565469411612,1.0,0.5038992965112712,1,-550.9714510903768,0.013329473465398256,0.0,0.013329473465398256,0.013329473465398256,0.7685352940418513,0.0,0.7685352940418513,0.7685352940418513,0.0035604560502829757,0.05786041703585767,0.7995931176775424,-0.2785086470507517,-0.5440621051479423,0.0,-0.5440621051479423,-0.5440621051479423,-0.5614498198224276,0.0,-0.5614498198224276,-0.5614498198224276,-0.5545319071406598,0.02672302709400553,-0.45163391022099386,-0.6000000000000001,1750000,1750,1000.0,0.0,1000,1000,-0.596251588518718,0.0676372595804386,0.42150356701182545,-0.9931505830361993,-596.2515885187291,0.8111059173216866,-594.7628387502001,-597.1872379523426,1.0,0.0,1.0,1.0,5,-596.2515885187291,0.0,0.0,0.0,0.0,0.8638863730251639,0.08311594926742992,0.9626008978483319,0.7627886424951471,0.0037484114812820976,0.0676372595804386,1.0215035670118255,-0.3931505830361992,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6,1.1102230246251565e-16,-0.6000000000000001,-0.6000000000000001,0.004757327000334044,2.165436036000756,0.4394168870003341,0.015226455001538852,0.006922278000274673,5.797542387999783,8.429301371003021,2933.850776377032,349
352000,0.024418067,0.025245719,64.759026,-64.724594,0.2972837,-62.62351,-67.34539,-64.7254,0.29738325,-62.65121,-67.406654,-64.731,0.33510223,-62.33395,-67.3207,0.024418067,0.07320242,0.75806016,1.9581057e-07,0.025245719,0.08016914,0.7691405,3.3620745e-07,1.0,0.0,1.0,1.0,352000,352,1000.0,0.0,1000,1000,-0.5472740677638492,0.07758235790964757,0.7126769126465121,-0.6756244703969708,-547.2740677638484,0.0,-547.2740677638484,-547.2740677638484,0.9589274000211614,0.05928604858485809,1.0,0.563791817658301,1,-547.2740677638484,-0.007119217699206315,0.0,-0.007119217699206315,-0.007119217699206315,0.9905236851988897,0.0,0.9905236851988897,0.9905236851988897,0.00655988867704123,0.07350198993195546,1.2670755497545854,-0.12136080613148414,-0.5592353453490881,0.0,-0.5592353453490881,-0.5592353453490881,-0.5424688616779623,0.0,-0.5424688616779623,-0.5424688616779623,-0.5538339564408904,0.025388368922653733,-0.45443046143007715,-0.6000000000000001,1755000,1755,1000.0,0.0,1000,1000,-0.5956149192251265,0.07474362322553266,1.1256871663619084,-1.024753669241953,-595.6149192251376,1.349262594326091,-594.2102255385697,-597.5588807115568,1.0,0.0,1.0,1.0,5,-595.6149192251376,0.0,0.0,0.0,0.0,1.0048549242200182,0.14339901880260633,1.2275840352927043,0.8662466512108496,0.0043850807748734835,0.07474362322553266,1.7256871663619084,-0.4247536692419529,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6,1.1102230246251565e-16,-0.6000000000000001,-0.6000000000000001,0.004708267000751221,2.1595963979998487,0.43985766600053466,0.018381619000138016,0.00684788699982164,5.827452090999941,8.456843928001035,2942.3107446500344,350
353000,0.018941062,0.018977704,64.81407,-64.701584,0.3971807,-62.18624,-67.25669,-64.69378,0.40116927,-62.179512,-67.29076,-64.72084,0.40239394,-62.467228,-67.31706,0.018941062,0.038869437,0.45457402,9.536743e-07,0.018977704,0.039372902,0.4636931,4.2433385e-08,1.0,0.0,1.0,1.0,353000,353,1000.0,0.0,1000,1000,-0.5491870018882802,0.08898000900686823,0.36862811277968,-0.9877866928903953,-549.1870018882804,0.0,-549.1870018882804,-549.1870018882804,0.9604675600345348,0.05798588712426993,1.0,0.6678987530004563,1,-549.1870018882804,0.029981641748548227,0.0,0.029981641748548227,0.029981641748548227,0.8635284373028621,0.0,0.8635284373028621,0.8635284373028621,0.006329176302288508,0.0864146702363316,0.9511208268970889,-0.4128819759437524,-0.5341440762622054,0.0,-0.5341440762622054,-0.5341440762622054,-0.5976606491301484,0.0,-0.5976606491301484,-0.5976606491301484,-0.5555161781905686,0.026743505454770403,-0.46171371445706044,-0.6000000000000001,1760000,1760,1000.0,0.0,1000,1000,-0.595305687602239,0.07484725816488343,0.9820754851315769,-1.0002854791615452,-595.3056876022501,0.7912250048916402,-593.9934540949329,-596.4226513986275,1.0,0.0,1.0,1.0,5,-595.3056876022501,0.0,0.0,0.0,0.0,1.0238497398817354,0.1328912030051432,1.213551451560851,0.8532634360791187,0.004694312397760969,0.07484725816488343,1.582075485131577,-0.4002854791615451,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6,1.1102230246251565e-16,-0.6000000000000001,-0.6000000000000001,0.004784938000739203,2.160021379000682,0.44206496000151674,0.01727304400083085,0.0069209680004860274,5.890228688000207,8.521293977004461,2950.8352102930403,351
354000,0.033408187,0.03418412,64.78451,-64.73134,0.3112936,-62.652126,-67.00201,-64.74028,0.31625965,-62.721245,-67.03804,-64.689545,0.3181269,-62.966686,-67.20071,0.03340819,0.19305754,2.953118,5.820766e-11,0.034184117,0.18192793,2.7679234,7.754716e-06,1.0,0.0,1.0,1.0,354000,354,1000.0,0.0,1000,1000,-0.5506130562219064,0.07484991594701618,0.21652300841287675,-1.0014079493023138,-550.6130562219067,0.0,-550.6130562219067,-550.6130562219067,0.9588566411520372,0.05975211288587117,1.0,0.6439670497790886,1,-550.6130562219067,-0.0013534891046462771,0.0,-0.0013534891046462771,-0.0013534891046462771,0.6240281715747664,0.0,0.6240281715747664,0.6240281715747664,0.003172767743509254,0.07001728024961512,0.7785274260027027,-0.46341159806781174,-0.5211885334278782,0.0,-0.5211885334278782,-0.5211885334278782,-0.4932188674419994,0.0,-0.4932188674419994,-0.4932188674419994,-0.5537858239654156,0.026177040746065375,-0.4626752908856901,-0.6000000000000001,1765000,1765,1000.0,0.0,1000,1000,-0.5953678359862834,0.07678344200677323,0.8068249485036536,-1.0482706236563062,-595.3678359862945,1.4013791797195176,-592.833975261075,-597.1326038073083,1.0,0.0,1.0,1.0,5,-595.3678359862945,0.0,0.0,0.0,0.0,0.9178776512635014,0.1679971574341183,1.1699773420129735,0.6863034030634526,0.004632164013716592,0.07678344200677321,1.4068249485036537,-0.4482706236563061,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6,1.1102230246251565e-16,-0.6000000000000001,-0.6000000000000001,0.004720797000118182,2.1889144520009722,0.4324911780004186,0.018451111000103992,0.007017298999926425,5.874515114999667,8.526109952001207,2959.3645162500416,352
355000,0.026480105,0.026959412,64.639755,-64.70061,0.32634944,-62.56159,-67.41609,-64.68892,0.31673092,-62.616364,-67.37973,-64.66764,0.36815822,-62.201344,-67.79866,0.026480105,0.057229035,0.6310763,8.663628e-07,0.02695941,0.0682769,0.70820457,7.043127e-09,1.0,0.0,1.0,1.0,355000,355,1000.0,0.0,1000,1000,-0.5500430820324432,0.08293564178190695,0.42978011716293685,-0.9860423474553138,-550.0430820324433,0.0,-550.0430820324433,-550.0430820324433,0.9600154452983497,0.05836074484249041,1.0,0.5614294362165155,1,-550.0430820324433,0.04009874958775361,0.0,0.04009874958775361,0.04009874958775361,0.8789726584890439,0.0,0.8789726584890439,0.8789726584890439,0.0049782970175322435,0.07894249450583042,0.9697861515914075,-0.4494240588902376,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.5234072104488926,0.0,-0.5234072104488926,-0.5234072104488926,-0.5550213790499754,0.02625893216039592,-0.4628492027740747,-0.6000000000000001,1770000,1770,1000.0,0.0,1000,1000,-0.5961486559219975,0.0694212367788176,0.49830402125421536,-0.9904214911577076,-596.1486559220086,0.880695898617377,-594.8425601854982,-597.1749403711652,1.0,0.0,1.0,1.0,5,-596.1486559220086,0.0,0.0,0.0,0.0,0.8666510002344822,0.06776464238751506,0.9842209794005202,0.787289120935798,0.0038513440780025667,0.0694212367788176,1.0983040212542154,-0.3904214911577075,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6,1.1102230246251565e-16,-0.6000000000000001,-0.6000000000000001,0.004732507999506197,2.1654447140008415,0.43847592499878374,0.015740863000246463,0.0069011579998914385,5.88096284400126,8.51225801200053,2967.880058250039,353
356000,0.042442802,0.04354556,64.72812,-64.6548,0.32351604,-62.962753,-67.52907,-64.64838,0.32179484,-62.89653,-67.46814,-64.666016,0.41599965,-60.851246,-67.74828,0.0424428,0.3170068,4.4584637,5.2532414e-07,0.043545563,0.31809267,4.183188,8.853385e-08,1.0,0.0,1.0,1.0,356000,356,1000.0,0.0,1000,1000,-0.551040449874976,0.07603108289234228,0.3651752542862692,-0.965740004520909,-551.0404498749764,0.0,-551.0404498749764,-551.0404498749764,0.9603377184548862,0.05788344391089388,1.0,0.6485350592949299,1,-551.0404498749764,-0.014448090996495022,0.0,-0.014448090996495022,-0.014448090996495022,0.8671827389316644,0.0,0.8671827389316644,0.8671827389316644,0.0043189660646969375,0.07132217080352811,0.9410928558363365,-0.40947851873294805,-0.5944485324652078,0.0,-0.5944485324652078,-0.5944485324652078,-0.538262041475231,0.0,-0.538262041475231,-0.538262041475231,-0.555359415939673,0.025947236516363804,-0.46048298064333804,-0.6000000000000001,1775000,1775,1000.0,0.0,1000,1000,-0.5959330958021437,0.07110060410704797,0.4789221592687962,-1.0220391690728798,-595.9330958021549,1.1066069828416591,-594.7478361338323,-598.0045798718912,1.0,0.0,1.0,1.0,5,-595.9330958021549,0.0,0.0,0.0,0.0,0.9428769844590512,0.0977154789661272,1.0134965275751393,0.7505731478705374,0.00406690419785637,0.07110060410704797,1.0789221592687963,-0.42203916907287975,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6,1.1102230246251565e-16,-0.6000000000000001,-0.6000000000000001,0.004792507999809459,2.1702216859994223,0.44487137900068774,0.017302084999755607,0.006906778000484337,5.8597182809990045,8.503812716999164,2976.386889261039,354
357000,0.017224535,0.017301831,64.750595,-64.63374,0.2636081,-62.635212,-67.155846,-64.636154,0.2670131,-62.626053,-67.17744,-64.658646,0.27653548,-62.692013,-67.03048,0.017224533,0.042801917,0.50770193,2.2375025e-07,0.01730183,0.042996895,0.51227856,2.3516477e-06,1.0,0.0,1.0,1.0,357000,357,1000.0,0.0,1000,1000,-0.5499124265282029,0.08894824577640192,0.4079023195209439,-0.9740854264419879,-549.9124265282029,0.0,-549.9124265282029,-549.9124265282029,0.9611474738216912,0.057122110595159134,1.0,0.6218660363489761,1,-549.9124265282029,0.018906145407373565,0.0,0.018906145407373565,0.018906145407373565,0.8197070757374934,0.0,0.8197070757374934,0.8197070757374934,0.00632801464339562,0.08489752114673588,0.9273960796338383,-0.40516223697243836,-0.5083381259092769,0.0,-0.5083381259092769,-0.5083381259092769,-0.5076307603608561,0.0,-0.5076307603608561,-0.5076307603608561,-0.5562404411715985,0.024887207742007374,-0.46282869374196606,-0.6000000000000001,1780000,1780,1000.0,0.0,1000,1000,-0.5960026433276376,0.06976785232259428,0.6119245426108542,-1.0366791817236982,-596.0026433276487,1.3155364271117251,-594.2889913627384,-597.9759985134565,1.0,0.0,1.0,1.0,5,-596.0026433276487,0.0,0.0,0.0,0.0,0.8945624339705063,0.18624928028200902,1.0638175581488198,0.5555159497763015,0.003997356672362405,0.06976785232259426,1.2119245426108542,-0.43667918172369813,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6,1.1102230246251565e-16,-0.6000000000000001,-0.6000000000000001,0.004764027999044629,2.1688869209992845,0.4430095749994507,0.01969721900059085,0.006912087999808136,5.839211298000009,8.482481128998188,2984.8725216140356,355
